cycle,data_mb,compute_sec,idle_sec,compute_power_w,transfer_power_w,idle_power_w,total_power_wh,energy_j
108.0,0.1,0.0200679302215576,0.005063772201538,2.2166129440020237,0.05,0.16779642270256345,3.0610740184783874e-05,0.11019866466522195
109.0,0.1,0.0201058387756347,0.0051069259643554,2.2162244554705204,0.05,0.16887772264737838,3.0682669745551094e-05,0.11045761108398394
110.0,0.1,0.0200691223144531,0.0050632953643798,2.216767968313828,0.05,0.1677823893143416,3.06121905644734e-05,0.11020388603210422
111.0,0.1,0.0201072692871093,0.005138874053955,2.2152294397310217,0.05,0.16984581439940916,3.069829609658969e-05,0.11051386594772288
112.0,0.1,0.0200769901275634,0.005063772201538,2.216679652950339,0.05,0.16772575074758625,3.062358829710204e-05,0.11024491786956735
113.0,0.1,0.0201075077056884,0.00510835647583,2.2164666677179046,0.05,0.1689294668621955,3.068556719356099e-05,0.11046804189681957
114.0,0.1,0.0200629234313964,0.0050585269927978,2.216620305980524,0.05,0.16766500189657216,3.0601441860198835e-05,0.1101651906967158
115.0,0.1,0.0200781822204589,0.0051019191741943,2.215073674464596,0.05,0.16885682271309196,3.0641631947623225e-05,0.11030987501144361
116.0,0.1,0.0201051235198974,0.0050616264343261,2.218664491685956,0.05,0.1675699852662575,3.066208627488866e-05,0.11038351058959918
117.0,0.1,0.0201058387756347,0.0050618648529052,2.219187166450876,0.05,0.16761139356427612,3.066305319468168e-05,0.11038699150085404
118.0,0.1,0.0201051235198974,0.0050716400146484,2.217147815112789,0.05,0.16778671714781404,3.0666689078013e-05,0.1104000806808468
119.0,0.1,0.0201022624969482,0.0050647258758544,2.2187574011210227,0.05,0.16770348148732656,3.065928816795339e-05,0.11037343740463221
120.0,0.1,0.0200808048248291,0.0051021575927734,2.2148736424119746,0.05,0.16882741210192664,3.064551287227205e-05,0.11032384634017937
121.0,0.1,0.0200846195220947,0.0051043033599853,2.2157721969131043,0.05,0.16893484276200035,3.065156936645502e-05,0.11034564971923806
122.0,0.1,0.0201051235198974,0.0050652027130126,2.218267622084028,0.05,0.16765838568136338,3.066368897755928e-05,0.1103892803192134
123.0,0.1,0.0200757980346679,0.0050628185272216,2.217155014429247,0.05,0.16774008383712585,3.062136305703044e-05,0.11023690700530958
124.0,0.1,0.0201044082641601,0.0050623416900634,2.219075990273579,0.05,0.16763071190222828,3.066125180986181e-05,0.1103805065155025
125.0,0.1,0.0200672149658203,0.0050649642944335,2.216790804985198,0.05,0.16785537446929252,3.061017062928935e-05,0.11019661426544167
126.0,0.1,0.0201058387756347,0.0051064491271972,2.2167487684728995,0.05,0.16890190367538993,3.068232205178991e-05,0.11045635938644366
127.0,0.1,0.0201337337493896,0.0050640106201171,2.2200343861235674,0.05,0.16751405151608895,3.070332275496578e-05,0.1105319619178768
128.0,0.1,0.020104169845581,0.0050616264343261,2.219166473672018,0.05,0.1676158494220666,3.0660589536030976e-05,0.11037812232971152
129.0,0.1,0.0200767517089843,0.0050776004791259,2.2161049733934712,0.05,0.16814217515566296,3.062917457686516e-05,0.11026502847671459
130.0,0.1,0.0201015472412109,0.0051050186157226,2.216100848464455,0.05,0.16884127301209964,3.0675815211401964e-05,0.11043293476104707
131.0,0.1,0.0201048851013183,0.0051045417785644,2.21636397087812,0.05,0.1688175151785933,3.0680282248390944e-05,0.11044901609420738
132.0,0.1,0.0200812816619873,0.0050609111785888,2.2171884953748835,0.05,0.16763363360201136,3.062834673457672e-05,0.11026204824447619
133.0,0.1,0.0201039314270019,0.005101203918457,2.2164802119695453,0.05,0.16872397695251615,3.067750400967059e-05,0.11043901443481413
134.0,0.1,0.0201010704040527,0.0051043033599853,2.2161065287218524,0.05,0.16882205434731018,3.067483835750149e-05,0.11042941808700536
135.0,0.1,0.0200796127319335,0.005061388015747,2.2174595317584767,0.05,0.16768385798990834,3.0626098314920896e-05,0.11025395393371523
136.0,0.1,0.0201320648193359,0.0051045417785644,2.218439000809188,0.05,0.16874743844383341,3.071829345491189e-05,0.11058585643768283
137.0,0.1,0.0201058387756347,0.0050663948059082,2.218568309173656,0.05,0.16771460892899434,3.0665116177664764e-05,0.11039441823959316
138.0,0.1,0.0200667381286621,0.0050668716430664,2.216457922956192,0.05,0.16789735919016574,3.061038255691526e-05,0.11019737720489493
139.0,0.1,0.020066499710083,0.0050675868988037,2.215346469501313,0.05,0.16783884943593058,3.061065740055506e-05,0.11019836664199822
140.0,0.1,0.0200822353363037,0.005101203918457,2.21535766699806,0.05,0.16882071675424803,3.0647009611129736e-05,0.11032923460006704
141.0,0.1,0.0201039314270019,0.0050621032714843,2.2190467167729824,0.05,0.1676245815701361,3.066048357221804e-05,0.11037774085998496
142.0,0.1,0.0201056003570556,0.0051050186157226,2.216885650141692,0.05,0.1688670168299169,3.0681348509258575e-05,0.11045285463333086
143.0,0.1,0.0201046466827392,0.0051045417785644,2.2164308957193195,0.05,0.16882461480231348,3.067992462052228e-05,0.11044772863388022
144.0,0.1,0.0201044082641601,0.0051043033599853,2.216299753989777,0.05,0.1688087428247004,3.0679523944854634e-05,0.11044628620147669
145.0,0.1,0.0200636386871337,0.0051040649414062,2.21430789228558,0.05,0.16899184826940017,3.0622088246875186e-05,0.11023951768875069
