cycle,sense_sec,compute_sec,transfer_sec,idle_sec,total_sec
237,0.010114669799804688,0.02011585235595703,0.010116100311279297,0.005113124847412109,0.045459747314453125
238,0.010111331939697266,0.020116329193115234,0.010113000869750977,0.005116462707519531,0.04545712471008301
239,0.010114669799804688,0.02011275291442871,0.01011347770690918,0.00511622428894043,0.04545712471008301
240,0.010104179382324219,0.02011275291442871,0.010116100311279297,0.005146503448486328,0.045479536056518555
241,0.010114669799804688,0.020116567611694336,0.010116100311279297,0.00511622428894043,0.04546356201171875
242,0.010114431381225586,0.020113229751586914,0.010116338729858398,0.005113124847412109,0.04545712471008301
243,0.010114908218383789,0.02011728286743164,0.010116338729858398,0.00511622428894043,0.04546475410461426
244,0.010115385055541992,0.020116329193115234,0.01011347770690918,0.00511622428894043,0.045461416244506836
245,0.01011514663696289,0.02010798454284668,0.01011347770690918,0.00511622428894043,0.04545283317565918
246,0.01011514663696289,0.020116090774536133,0.010119199752807617,0.005115509033203125,0.045465946197509766
247,0.01011204719543457,0.020116567611694336,0.010113716125488281,0.005116462707519531,0.04545879364013672
248,0.01011204719543457,0.020116329193115234,0.0101165771484375,0.005112409591674805,0.04545736312866211
249,0.010111331939697266,0.02011561393737793,0.010115623474121094,0.0051157474517822266,0.045458316802978516
250,0.010114431381225586,0.020116090774536133,0.010115623474121094,0.005113124847412109,0.04545927047729492
251,0.01011514663696289,0.020116567611694336,0.010115861892700195,0.005115985870361328,0.04546356201171875
252,0.010114192962646484,0.020116090774536133,0.010115385055541992,0.005115985870361328,0.04546165466308594
253,0.010111331939697266,0.020113468170166016,0.010116338729858398,0.005115509033203125,0.045456647872924805
254,0.010111570358276367,0.02011585235595703,0.010112524032592773,0.005112886428833008,0.04545283317565918
255,0.010111808776855469,0.020116090774536133,0.010113239288330078,0.005116462707519531,0.04545760154724121
256,0.01011514663696289,0.020107269287109375,0.010113000869750977,0.005113124847412109,0.04544854164123535
257,0.01011204719543457,0.020116329193115234,0.010116100311279297,0.005112648010253906,0.04545712471008301
258,0.010117053985595703,0.02011418342590332,0.010115623474121094,0.005115985870361328,0.045462846755981445
259,0.010114669799804688,0.02011585235595703,0.010115861892700195,0.005131244659423828,0.04547762870788574
260,0.010111570358276367,0.020115375518798828,0.010115385055541992,0.005115032196044922,0.04545736312866211
261,0.010113954544067383,0.020112276077270508,0.010106801986694336,0.005069732666015625,0.04540276527404785
262,0.010063409805297852,0.020107507705688477,0.010118484497070312,0.005118370056152344,0.045407772064208984
263,0.010114908218383789,0.02011561393737793,0.010115623474121094,0.00511622428894043,0.04546236991882324
264,0.010114908218383789,0.020116329193115234,0.010115861892700195,0.00511622428894043,0.04546332359313965
265,0.010114192962646484,0.02011561393737793,0.010115623474121094,0.005115985870361328,0.045461416244506836
266,0.010114669799804688,0.02013087272644043,0.0101165771484375,0.005116701126098633,0.04547882080078125
267,0.010111570358276367,0.020107746124267578,0.010068416595458984,0.005110740661621094,0.04539847373962402
268,0.010114669799804688,0.02011585235595703,0.010114192962646484,0.005113124847412109,0.04545783996582031
269,0.010114908218383789,0.020113468170166016,0.010118246078491211,0.005116462707519531,0.04546308517456055
270,0.010113954544067383,0.020116090774536133,0.010116100311279297,0.005115985870361328,0.04546213150024414
271,0.01011967658996582,0.020116090774536133,0.010115623474121094,0.005115985870361328,0.045467376708984375
272,0.010114431381225586,0.020116329193115234,0.010116100311279297,0.00511622428894043,0.04546308517456055
273,0.010111093521118164,0.020113706588745117,0.010113000869750977,0.005115985870361328,0.045453786849975586
274,0.010082244873046875,0.020113706588745117,0.010114908218383789,0.005117893218994141,0.04542875289916992
275,0.0101165771484375,0.02007460594177246,0.010062217712402344,0.0051097869873046875,0.04536318778991699
276,0.010116815567016602,0.020117998123168945,0.01011800765991211,0.005117654800415039,0.045470476150512695
277,0.010115861892700195,0.02011895179748535,0.010074615478515625,0.005060434341430664,0.045369863510131836
278,0.010062694549560547,0.020113706588745117,0.010210275650024414,0.0051136016845703125,0.04550027847290039
279,0.010114431381225586,0.020116567611694336,0.010115861892700195,0.005144357681274414,0.04549121856689453
